favorite_count,source,text,is_retweet,created_at,retweet_count
0,Twitter Web App,"b'On Feb. 26, DeSantis added people &lt;65 deemed ""extremely vulnerable"" to COVID-19 by a physician to the list of those eligible to get the shot. \n\nEffect. March 3, teachers, firefighters &amp; law enforcement officers who are age 50 &amp; older will also be eligible. https://t.co/vvrNOFVicY'",False,Wed Mar 03 01:43:50 +0000 2021,0
5,TweetDeck,"b'During the #COVID19 pandemic, older adults may be spending more time at home alone. This may leave them more vulnerable to feelings of #loneliness and social #isolation. Share these tips with loved ones to help them stay connected: https://t.co/fGipADkmMz   #CommitToConnect'",False,Fri Mar 05 16:00:02 +0000 2021,2
0,Twitter Media Studio - LiveCut,b'#4Mar | #NoticiasVPItv Emisi\xc3\xb3n Central | La Organizaci\xc3\xb3n Panamericana de la Salud indic\xc3\xb3 que Venezuela no entrar\xc3\xa1 en el mecanismo Covax para recibir la vacuna contra la covid-19\n\nCon\xc3\xa9ctate a nuestra se\xc3\xb1al #EnVivo aqu\xc3\xad https://t.co/KNB6OJp2i5 https://t.co/iBEQWyWvSZ',False,Thu Mar 04 22:35:01 +0000 2021,2
9,Hootsuite Inc.,b'La familia chilena que no puede volver a su casa por las restricciones contra el #COVID19 - https://t.co/dqYK0UiBmT https://t.co/bLHBCp1h2T',False,Mon Mar 01 14:02:41 +0000 2021,10
0,Twitter for iPad,"b'Beautifully written summary of the past year.  You represent your profession well.  Thank you for the vital work you do every day, and for sharing your story! https://t.co/BmxZs6bcIE'",False,Mon Mar 01 09:34:49 +0000 2021,0
0,Twitter for iPhone,"b'Pobre mexicanos, a ese paso morir\xc3\xa1n antes de ser vacunados. https://t.co/tuWFYZoRcc'",False,Fri Mar 05 02:08:00 +0000 2021,0
0,Twitter for iPhone,b'@GregAbbott_TX Heh? So.... you make that claim while tossing out mask protection &amp; reopening all businesses? What the Hell is wrong w/ you? You are a pathetic governor of a state stupid enough to elect @SenTedCruz &amp; @JohnCornyn. The GOP will endanger lives to rebel against #COVID19 relief bill.',False,Thu Mar 04 05:42:02 +0000 2021,0
2,Twitter Web App,b'Y el 100% de los medios de comunicaci\xc3\xb3n tienen due\xc3\xb1o. https://t.co/8WxutjUDbu',False,Mon Mar 01 17:30:04 +0000 2021,1
0,Twitter for Android,b'Uruguay (\xf0\x9f\x87\xba\xf0\x9f\x87\xbe) tiene m\xc3\xa1s de\n60.000 casos de coronavirus y\ncasi ya van 700 fallecidos',False,Fri Mar 05 11:09:18 +0000 2021,0
0,Twitter for iPhone,b'Covid-19 : faut-il obliger les soignants \xc3\xa0 se faire vacciner ? V\xc3\xa9ran dit non... pour l\xe2\x80\x99instant - Le Parisien https://t.co/Hi1CCl6Rn1',False,Sun Mar 07 17:23:10 +0000 2021,0
0,Twitter Web App,"b'Pobre imb\xc3\xa9cil, el pela culo de Guaido es el propio disfraz https://t.co/ODhhCd2RD8'",False,Mon Mar 08 00:37:32 +0000 2021,0
0,Twitter Web App,b'They couldn\xe2\x80\x99t go outside for years. Then Covid-19 trapped them again https://t.co/K8iRf8UNEW',False,Fri Mar 05 23:52:15 +0000 2021,0
1,Twitter for iPhone,b'Video of the year so far. https://t.co/KHWWQ0aR8X',False,Fri Mar 05 00:32:53 +0000 2021,0
4,Twitter for iPhone,b'That\xe2\x80\x99s cool. Now how about raising minimum wage? https://t.co/zXkLVqs8q6',False,Sat Mar 06 17:59:10 +0000 2021,0
0,Twitter Web App,b'\xf0\x9f\x94\xb5\xc2\xa0#Portadas \xf0\x9f\x93\xb0 @OraleQChiquito \xe2\x96\xab\xef\xb8\x8f#Buenosd\xc3\xadas \n\xf0\x9f\x93\x9dORALE Mujeres dejan de hacerse mastograf\xc3\xada y papanicolau por miedo al COVID19\n#LaEraM #LaEraMedi\xc3\xa1tica #Durango @CEOMarcosOrtiz #Qu\xc3\xa9dateEnCasa https://t.co/3ZiHqdr8qI https://t.co/CxMjrp3POp',False,Sat Mar 06 17:33:54 +0000 2021,0
0,SocialNewsDesk,"b'Opinion: Crapo is all for passing another coronavirus relief package, even if it means increasing the national debt. \xe2\x80\x9cBut I\xe2\x80\x99m not for building a bridge from New York to Canada, which is part of their bill.\xe2\x80\x9d https://t.co/arM66ZC9Ah'",False,Tue Mar 02 16:47:08 +0000 2021,0
5,Hootsuite Inc.,"b'The #COVID19 crisis has added additional care &amp; domestic work that disproportionately falls on women, decreasing their leadership opportunities. On #IWD2021, and every day, let\xe2\x80\x99s share the care! #GenerationEquality \xf0\x9f\x92\x99 https://t.co/9cOw2enrLU https://t.co/dgovyezopy'",False,Thu Mar 04 07:25:03 +0000 2021,2
66,TweetDeck,b'Leading Chinese respiratory disease expert Zhong Nanshan and top U.S. infectious disease expert Anthony Fauci met via video link to exchange views on COVID-19 control on Tuesday night Beijing time. https://t.co/V8NYR5MSA4',False,Tue Mar 02 14:05:00 +0000 2021,25
0,OxfordBlue-Twitter,"b'Tercer cheque est\xc3\xadmulo: Posibles fechas para recibir el pago del IRS | Hoy, 28 de febrero https://t.co/M63gt5FdTa'",False,Mon Mar 01 09:05:45 +0000 2021,0
2,Twitter for Android,"b""You think it's easy to close down the Third Mainland bridge for weeks, \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\nJide is the COVID-19 GOVERNOR OF THE YEAR, \xf0\x9f\x98\x82 https://t.co/vMRi4jJV9t""",False,Wed Mar 03 09:42:22 +0000 2021,2
0,Twitter for iPad,b'@LakeLorene @kozy62 @Acosta Not one video eh? https://t.co/x5qAKbdyQn',False,Tue Mar 02 15:01:32 +0000 2021,0
2,Twitter Web App,"b'@JuliaFriedland @PlaysTrumpCard Joe Biden= ""SUPER-SPREADER""!\n\nByron York (@ByronYork) Tweeted:\n\'DHS won\xe2\x80\x99t test thousands of migrants before releasing into US and is relying on border communities.\' From @CassMorrison94 and @Anna_Giaritelli: https://t.co/lfqMfiqHG1 https://t.co/sbFtBDFM9i'",False,Sun Mar 07 15:06:06 +0000 2021,1
0,Twitter Web App,"b""@POTUS DEM's OPEN Border Policy!\n\n2200 children are dropped off PER WEEK\nAlmost 20,000 in the last 2 months\n75,000+ Adults Captured Per Month Since Nov 2020\n\n108 migrants released by Border Patrol in Texas test positive for coronavirus, officials say\nhttps://t.co/jzl00r8fzJ""",False,Wed Mar 03 15:10:36 +0000 2021,0
0,Twitter Web App,"b""Many things happened today, 1. @neeratanden's nomination was withdrawn by the @WhiteHouse because they don't have the votes to confirm her. 2. @GovRaimondo, now Secretary Raimondo has been confirmed as the Secretary of Commerce. 3. @GovAbbott of Texas lifted #COVID19 restrictions""",False,Wed Mar 03 03:30:01 +0000 2021,0
1,Twitter Web App,"b'@CBSNews I know this post is unrelated to the above one, but I am inviting people to listen to the Tuckahoe Program Podcast in a few minutes to hear a conservative opinion on the COVID-19 stimulus bill that passed the Senate yesterday. (1/2)'",False,Mon Mar 08 01:00:49 +0000 2021,0
4,Twitter Web App,"b'Mask mouth causes gum disease, which increases coronavirus death risk by 900%\n\nNew research has determined that a person with gum disease who tests \xe2\x80\x9cpositive\xe2\x80\x9d for the Wuhan coronavirus (Covid-19) is nine times more likely to die than a \xe2\x80\x9cpositive\xe2\x80\x9d case without gum disease.'",False,Mon Mar 08 01:42:42 +0000 2021,0
0,Hootsuite Inc.,"b'In partnership with @Google, epidemiologists around the world built a new database that will ""enable open access to more than 5 million anonymized #COVID19 records from 160 countries."" https://t.co/UmNXfK3J0g'",False,Wed Mar 03 14:40:07 +0000 2021,0
1,Twitter for iPhone,b'@GovMikeDeWine Lift the mandate!!! https://t.co/K0T1cl5LvK',False,Wed Mar 03 22:38:59 +0000 2021,1
2,TweetDeck,b'Tampa company developing a Covid-19 vaccine hits major milestone https://t.co/k1PN3h8O1y via @TBBJVeronica #CovidVaccine https://t.co/NC0V6BA2AE',False,Wed Mar 03 16:18:48 +0000 2021,2
0,Twitter for Android,b'Jesus! https://t.co/FKBe1KeRkF',False,Tue Mar 02 22:23:09 +0000 2021,0
9,Twitter for iPhone,b'@JAMANetwork published this piece showing significant improvement in mortality as the #COVID19 pandemic has evolved and we all have learned. Great demonstration of a learning curve. #PedsICU #MedTwitter \n\nhttps://t.co/hTT8IchpXO https://t.co/vxuJDHntdD https://t.co/QudYplklym',False,Sat Mar 06 02:46:27 +0000 2021,2
0,TweetDeck,b'Senado aprob\xc3\xb3 proyecto de ley de est\xc3\xadmulo por el COVID-19 https://t.co/jxVAmGhUc5',False,Sat Mar 06 20:00:53 +0000 2021,0
13,TweetDeck,b'Diez enormes esculturas que representan dos manos estrech\xc3\xa1ndose y que fueron decoradas por conocidos artistas de R\xc3\xado de Janeiro festejan la posible retomada de los contactos tras la vacunaci\xc3\xb3n contra la covid de la poblaci\xc3\xb3n de esta ciudad. #coronavirus\n\nhttps://t.co/QZpiP1wAy3',False,Thu Mar 04 16:27:22 +0000 2021,7
1,Twitter for iPhone,b'Le besoin de revenir en f\xc3\xa9vrier dernier mais sans le coronavirus il est \xc3\xa9norme.',False,Wed Mar 03 15:18:47 +0000 2021,0
0,Twitter Web App,"b'2,104,987 contagiados por coronavirus en M\xc3\xa9xico con 188,044 fallecimientos. 7,793 contagios y 857 fallecidos el d\xc3\xada de hoy'",False,Thu Mar 04 01:14:31 +0000 2021,0
0,IFTTT,b'Ensenada con 67 casos activos de COVID-19 - https://t.co/CIeQC9CHkw https://t.co/9AyqOfWuOV',False,Mon Mar 01 20:09:23 +0000 2021,0
0,Twitter for Android,"b""Locally, celebrations of International Women's Day will be quite different this year, owning to the coronavirus pandemic and gathering restrictions. Still, quite a few virtual events are happening. Read more: https://t.co/cw3LeZAx2c #LivewithFlair #internationalwomensday2021 https://t.co/uyCZlgSJVQ""",False,Sun Mar 07 23:52:35 +0000 2021,0
1,Twitter for iPad,b'Amazing \xf0\x9f\x91\x87 https://t.co/0ISfJI8wBQ',False,Mon Mar 01 18:05:56 +0000 2021,0
6,Twitter Web App,"b'\xe2\x9a\xa0\xef\xb8\x8f SEGUNDO BLOQUEO DEL D\xc3\x8dA EN LA REGI\xc3\x93N \xe2\x9a\xa0\xef\xb8\x8f\n\n\xf0\x9f\x9a\xa8 Agremiados a la Secci\xc3\xb3n 35 del Sindicato Nacional de los Trabajadores de la Salud se movilizan, para demandar la aplicaci\xc3\xb3n de vacunas contra el Covid-19 a todo el personal. \xf0\x9f\x9a\xa8\n\n\xf0\x9f\x91\x87https://t.co/TvLIAyooIp https://t.co/h3CIRH1WQO'",False,Wed Mar 03 17:36:58 +0000 2021,2
0,Twitter for iPhone,b'Les aseguro que este alcalde? Muy puesto para vacunarse o ya est\xc3\xa1. Pero 3 de sus directores... No libraron el Covid-19. https://t.co/uM3mIEVzie',False,Thu Mar 04 03:36:04 +0000 2021,0
1,TweetDeck,"b'Al parecer, en la biblia del presidente @MaritoAbdo\nno est\xc3\xa1n las noticias actuales. ya que el #INERAM est\xc3\xa1 colapsado, pero el refiere que no.\n\nAfirm\xc3\xb3 que no usar\xc3\xa1 la asistencia privada si es que llega a contraer el #COVID19\nhttps://t.co/CFAfxcIUEw'",False,Wed Mar 03 18:39:47 +0000 2021,1
0,Twitter for Android,b'Por favor......\n#COVID\xe3\x83\xbc19 #COVID19 #coronavirus #chile https://t.co/QgQ4hZy3Bj https://t.co/hoPFNyyC4o',False,Wed Mar 03 07:39:04 +0000 2021,0
1,dlvr.it,b'El coronavirus muestra \xc2\xabpreferencia\xc2\xbb por un ant\xc3\xadgeno del grupo sangu\xc3\xadneo A https://t.co/4eNfHqk7bT https://t.co/Spqm9d3k6U',False,Mon Mar 08 00:54:04 +0000 2021,0
0,Twitter Web App,"b'\xe2\x80\x98Neanderthals\xe2\x80\x99 Take Place Of \xe2\x80\x98Deplorables\xe2\x80\x99: Biden(\xe2\x80\x98s Talking-Point Writers) Schooling The Neanderthals On Coronavirus, Science https://t.co/GfoSkxsOSR via @SGT Report'",False,Sat Mar 06 14:36:59 +0000 2021,0
0,Twitter for Android,b'#Locales | Las medidas de confinamiento por la #COVID19 han llevado a que las agencias de festejos registren una ca\xc3\xadda en alquileres del 90% #Barquisimeto \n\nhttps://t.co/IrIRJGVo0D',False,Sun Mar 07 23:41:19 +0000 2021,1
3,Twitter for iPhone,b'coronavirus isn\xe2\x80\x99t  gonna end anytime soon in the US as long as we keep being lil selfish fucks',False,Tue Mar 02 20:37:47 +0000 2021,0
0,Twitter for Android,b'Sube cierre de colegios: al menos cinco escuelas frenan retorno por #COVID19\nhttps://t.co/cXtUMu6Q83',False,Wed Mar 03 13:29:49 +0000 2021,0
9,Twitter Web App,b'#RentIsDue Tenants live in fear of losing their homes. They need to resolve their Covid-19 rent debt. #SB91 goes a long way but there\xe2\x80\x99s more to go. California must #CloseTheLoopholes that allow landlords to proceed with evictions. #ProtectAllRenters!',False,Mon Mar 01 20:00:23 +0000 2021,2
0,Twitter for Android,b'......low risk of transmission is still transmission. https://t.co/xvFpRu2ekG',False,Sat Mar 06 04:20:33 +0000 2021,0
11,Twitter Web App,"b""Hardships are getting closer...\n#Debt #relief is one of the main issues and could be one of the main solutions:\nOur piece on #Tunisia's debt policy a few weeks after the spike of #COVID19\n https://t.co/5prBmkCeCz""",False,Fri Mar 05 06:17:51 +0000 2021,2
